date,value,category
1/1/2025,67.55,A
1/2/2025,76.74,A
1/3/2025,30.09,C
1/4/2025,19.22,C
1/5/2025,90.3,A
1/6/2025,63.14,A
1/7/2025,12.68,A
1/8/2025,30.94,C
1/9/2025,12.39,A
1/10/2025,74.44,C
1/11/2025,59.04,A
1/12/2025,50.43,B
1/13/2025,82.85,A
1/14/2025,78.29,A
1/15/2025,72.83,B
1/16/2025,35.01,A
1/17/2025,96.15,B
1/18/2025,19.2,B
1/19/2025,18.7,B
1/20/2025,64.34,A
1/21/2025,75.68,C
1/22/2025,21.23,B
1/23/2025,17.09,B
1/24/2025,84.65,C
1/25/2025,89.69,B
1/26/2025,61.96,C
1/27/2025,16.26,C
1/28/2025,30.51,B
1/29/2025,98.67,A
1/30/2025,87.98,B
1/31/2025,35.02,C
2/1/2025,85.07,A
2/2/2025,43.32,A
2/3/2025,70.32,C
2/4/2025,94.3,C
2/5/2025,16.43,C
2/6/2025,25.4,C
2/7/2025,32.03,B
2/8/2025,44.15,C
2/9/2025,71.93,A
2/10/2025,71.62,A
2/11/2025,30.61,A
2/12/2025,82.45,B
2/13/2025,34.1,A
2/14/2025,92.18,C
2/15/2025,88.87,B
2/16/2025,29.14,B
2/17/2025,45.61,C
2/18/2025,51.3,B
2/19/2025,22.57,C
2/20/2025,60.52,B
2/21/2025,77.23,B
2/22/2025,90.8,B
2/23/2025,42.58,A
2/24/2025,55.86,A
2/25/2025,78.02,A
2/26/2025,23.76,A
2/27/2025,81.29,B
2/28/2025,63.68,B
3/1/2025,44.35,B
