order_id,date,customer_id,product,price,qty
A001,2025-07-01,C123,Milk,1.50,2
A001,2025-07-01,C123,Bread,2.00,1
A002,2025-07-03,C234,Apples,3.20,3
A003,2025-07-10,C123,Milk,1.50,1
A004,2025-08-02,C345,Bread,2.00,2
A004,2025-08-02,C345,Butter,3.50,1
A005,2025-08-05,C123,Apples,3.20,1
A006,2025-08-19,C456,Milk,1.50,3





A001,2025-07-01,C123,Milk,1.50,2
A001,2025-07-01,C123,Bread,2.00,1
A002,2025-07-03,C234,Apples,3.20,3
A003,2025-07-10,C123,Milk,1.50,1
A004,2025-08-02,C345,Bread,2.00,2
A004,2025-08-02,C345,Butter,3.50,1
A005,2025-08-05,C123,Apples,3.20,1
A006,2025-08-19
